REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCCRIXX02,S1D1,2021,0.23
GLOBAL,ELCCRIXX02,S1D1,2022,0.23
GLOBAL,ELCCRIXX02,S1D1,2023,0.23
GLOBAL,ELCCRIXX02,S1D1,2024,0.23
GLOBAL,ELCCRIXX02,S1D1,2025,0.23
GLOBAL,ELCCRIXX02,S1D1,2026,0.23
GLOBAL,ELCCRIXX02,S1D1,2027,0.23
GLOBAL,ELCCRIXX02,S1D1,2028,0.23
GLOBAL,ELCCRIXX02,S1D1,2029,0.23
GLOBAL,ELCCRIXX02,S1D1,2030,0.23
GLOBAL,ELCCRIXX02,S1D1,2031,0.23
GLOBAL,ELCCRIXX02,S1D1,2032,0.23
GLOBAL,ELCCRIXX02,S1D1,2033,0.23
GLOBAL,ELCCRIXX02,S1D1,2034,0.23
GLOBAL,ELCCRIXX02,S1D1,2035,0.23
GLOBAL,ELCCRIXX02,S1D1,2036,0.23
GLOBAL,ELCCRIXX02,S1D1,2037,0.23
GLOBAL,ELCCRIXX02,S1D1,2038,0.23
GLOBAL,ELCCRIXX02,S1D1,2039,0.23
GLOBAL,ELCCRIXX02,S1D1,2040,0.23
GLOBAL,ELCCRIXX02,S1D1,2041,0.23
GLOBAL,ELCCRIXX02,S1D1,2042,0.23
GLOBAL,ELCCRIXX02,S1D1,2043,0.23
GLOBAL,ELCCRIXX02,S1D1,2044,0.23
GLOBAL,ELCCRIXX02,S1D1,2045,0.23
GLOBAL,ELCCRIXX02,S1D1,2046,0.23
GLOBAL,ELCCRIXX02,S1D1,2047,0.23
GLOBAL,ELCCRIXX02,S1D1,2048,0.23
GLOBAL,ELCCRIXX02,S1D1,2049,0.23
GLOBAL,ELCCRIXX02,S1D1,2050,0.23
GLOBAL,ELCCRIXX02,S1D2,2021,0.27
GLOBAL,ELCCRIXX02,S1D2,2022,0.27
GLOBAL,ELCCRIXX02,S1D2,2023,0.27
GLOBAL,ELCCRIXX02,S1D2,2024,0.27
GLOBAL,ELCCRIXX02,S1D2,2025,0.27
GLOBAL,ELCCRIXX02,S1D2,2026,0.27
GLOBAL,ELCCRIXX02,S1D2,2027,0.27
GLOBAL,ELCCRIXX02,S1D2,2028,0.27
GLOBAL,ELCCRIXX02,S1D2,2029,0.27
GLOBAL,ELCCRIXX02,S1D2,2030,0.27
GLOBAL,ELCCRIXX02,S1D2,2031,0.27
GLOBAL,ELCCRIXX02,S1D2,2032,0.27
GLOBAL,ELCCRIXX02,S1D2,2033,0.27
GLOBAL,ELCCRIXX02,S1D2,2034,0.27
GLOBAL,ELCCRIXX02,S1D2,2035,0.27
GLOBAL,ELCCRIXX02,S1D2,2036,0.27
GLOBAL,ELCCRIXX02,S1D2,2037,0.27
GLOBAL,ELCCRIXX02,S1D2,2038,0.27
GLOBAL,ELCCRIXX02,S1D2,2039,0.27
GLOBAL,ELCCRIXX02,S1D2,2040,0.27
GLOBAL,ELCCRIXX02,S1D2,2041,0.27
GLOBAL,ELCCRIXX02,S1D2,2042,0.27
GLOBAL,ELCCRIXX02,S1D2,2043,0.27
GLOBAL,ELCCRIXX02,S1D2,2044,0.27
GLOBAL,ELCCRIXX02,S1D2,2045,0.27
GLOBAL,ELCCRIXX02,S1D2,2046,0.27
GLOBAL,ELCCRIXX02,S1D2,2047,0.27
GLOBAL,ELCCRIXX02,S1D2,2048,0.27
GLOBAL,ELCCRIXX02,S1D2,2049,0.27
GLOBAL,ELCCRIXX02,S1D2,2050,0.27
GLOBAL,ELCCRIXX02,S2D1,2021,0.23
GLOBAL,ELCCRIXX02,S2D1,2022,0.23
GLOBAL,ELCCRIXX02,S2D1,2023,0.23
GLOBAL,ELCCRIXX02,S2D1,2024,0.23
GLOBAL,ELCCRIXX02,S2D1,2025,0.23
GLOBAL,ELCCRIXX02,S2D1,2026,0.23
GLOBAL,ELCCRIXX02,S2D1,2027,0.23
GLOBAL,ELCCRIXX02,S2D1,2028,0.23
GLOBAL,ELCCRIXX02,S2D1,2029,0.23
GLOBAL,ELCCRIXX02,S2D1,2030,0.23
GLOBAL,ELCCRIXX02,S2D1,2031,0.23
GLOBAL,ELCCRIXX02,S2D1,2032,0.23
GLOBAL,ELCCRIXX02,S2D1,2033,0.23
GLOBAL,ELCCRIXX02,S2D1,2034,0.23
GLOBAL,ELCCRIXX02,S2D1,2035,0.23
GLOBAL,ELCCRIXX02,S2D1,2036,0.23
GLOBAL,ELCCRIXX02,S2D1,2037,0.23
GLOBAL,ELCCRIXX02,S2D1,2038,0.23
GLOBAL,ELCCRIXX02,S2D1,2039,0.23
GLOBAL,ELCCRIXX02,S2D1,2040,0.23
GLOBAL,ELCCRIXX02,S2D1,2041,0.23
GLOBAL,ELCCRIXX02,S2D1,2042,0.23
GLOBAL,ELCCRIXX02,S2D1,2043,0.23
GLOBAL,ELCCRIXX02,S2D1,2044,0.23
GLOBAL,ELCCRIXX02,S2D1,2045,0.23
GLOBAL,ELCCRIXX02,S2D1,2046,0.23
GLOBAL,ELCCRIXX02,S2D1,2047,0.23
GLOBAL,ELCCRIXX02,S2D1,2048,0.23
GLOBAL,ELCCRIXX02,S2D1,2049,0.23
GLOBAL,ELCCRIXX02,S2D1,2050,0.23
GLOBAL,ELCCRIXX02,S2D2,2021,0.27
GLOBAL,ELCCRIXX02,S2D2,2022,0.27
GLOBAL,ELCCRIXX02,S2D2,2023,0.27
GLOBAL,ELCCRIXX02,S2D2,2024,0.27
GLOBAL,ELCCRIXX02,S2D2,2025,0.27
GLOBAL,ELCCRIXX02,S2D2,2026,0.27
GLOBAL,ELCCRIXX02,S2D2,2027,0.27
GLOBAL,ELCCRIXX02,S2D2,2028,0.27
GLOBAL,ELCCRIXX02,S2D2,2029,0.27
GLOBAL,ELCCRIXX02,S2D2,2030,0.27
GLOBAL,ELCCRIXX02,S2D2,2031,0.27
GLOBAL,ELCCRIXX02,S2D2,2032,0.27
GLOBAL,ELCCRIXX02,S2D2,2033,0.27
GLOBAL,ELCCRIXX02,S2D2,2034,0.27
GLOBAL,ELCCRIXX02,S2D2,2035,0.27
GLOBAL,ELCCRIXX02,S2D2,2036,0.27
GLOBAL,ELCCRIXX02,S2D2,2037,0.27
GLOBAL,ELCCRIXX02,S2D2,2038,0.27
GLOBAL,ELCCRIXX02,S2D2,2039,0.27
GLOBAL,ELCCRIXX02,S2D2,2040,0.27
GLOBAL,ELCCRIXX02,S2D2,2041,0.27
GLOBAL,ELCCRIXX02,S2D2,2042,0.27
GLOBAL,ELCCRIXX02,S2D2,2043,0.27
GLOBAL,ELCCRIXX02,S2D2,2044,0.27
GLOBAL,ELCCRIXX02,S2D2,2045,0.27
GLOBAL,ELCCRIXX02,S2D2,2046,0.27
GLOBAL,ELCCRIXX02,S2D2,2047,0.27
GLOBAL,ELCCRIXX02,S2D2,2048,0.27
GLOBAL,ELCCRIXX02,S2D2,2049,0.27
GLOBAL,ELCCRIXX02,S2D2,2050,0.27
GLOBAL,ELCPANXX02,S1D1,2021,0.21
GLOBAL,ELCPANXX02,S1D1,2022,0.21
GLOBAL,ELCPANXX02,S1D1,2023,0.21
GLOBAL,ELCPANXX02,S1D1,2024,0.21
GLOBAL,ELCPANXX02,S1D1,2025,0.21
GLOBAL,ELCPANXX02,S1D1,2026,0.21
GLOBAL,ELCPANXX02,S1D1,2027,0.21
GLOBAL,ELCPANXX02,S1D1,2028,0.21
GLOBAL,ELCPANXX02,S1D1,2029,0.21
GLOBAL,ELCPANXX02,S1D1,2030,0.21
GLOBAL,ELCPANXX02,S1D1,2031,0.21
GLOBAL,ELCPANXX02,S1D1,2032,0.21
GLOBAL,ELCPANXX02,S1D1,2033,0.21
GLOBAL,ELCPANXX02,S1D1,2034,0.21
GLOBAL,ELCPANXX02,S1D1,2035,0.21
GLOBAL,ELCPANXX02,S1D1,2036,0.21
GLOBAL,ELCPANXX02,S1D1,2037,0.21
GLOBAL,ELCPANXX02,S1D1,2038,0.21
GLOBAL,ELCPANXX02,S1D1,2039,0.21
GLOBAL,ELCPANXX02,S1D1,2040,0.21
GLOBAL,ELCPANXX02,S1D1,2041,0.21
GLOBAL,ELCPANXX02,S1D1,2042,0.21
GLOBAL,ELCPANXX02,S1D1,2043,0.21
GLOBAL,ELCPANXX02,S1D1,2044,0.21
GLOBAL,ELCPANXX02,S1D1,2045,0.21
GLOBAL,ELCPANXX02,S1D1,2046,0.21
GLOBAL,ELCPANXX02,S1D1,2047,0.21
GLOBAL,ELCPANXX02,S1D1,2048,0.21
GLOBAL,ELCPANXX02,S1D1,2049,0.21
GLOBAL,ELCPANXX02,S1D1,2050,0.21
GLOBAL,ELCPANXX02,S1D2,2021,0.27
GLOBAL,ELCPANXX02,S1D2,2022,0.27
GLOBAL,ELCPANXX02,S1D2,2023,0.27
GLOBAL,ELCPANXX02,S1D2,2024,0.27
GLOBAL,ELCPANXX02,S1D2,2025,0.27
GLOBAL,ELCPANXX02,S1D2,2026,0.27
GLOBAL,ELCPANXX02,S1D2,2027,0.27
GLOBAL,ELCPANXX02,S1D2,2028,0.27
GLOBAL,ELCPANXX02,S1D2,2029,0.27
GLOBAL,ELCPANXX02,S1D2,2030,0.27
GLOBAL,ELCPANXX02,S1D2,2031,0.27
GLOBAL,ELCPANXX02,S1D2,2032,0.27
GLOBAL,ELCPANXX02,S1D2,2033,0.27
GLOBAL,ELCPANXX02,S1D2,2034,0.27
GLOBAL,ELCPANXX02,S1D2,2035,0.27
GLOBAL,ELCPANXX02,S1D2,2036,0.27
GLOBAL,ELCPANXX02,S1D2,2037,0.27
GLOBAL,ELCPANXX02,S1D2,2038,0.27
GLOBAL,ELCPANXX02,S1D2,2039,0.27
GLOBAL,ELCPANXX02,S1D2,2040,0.27
GLOBAL,ELCPANXX02,S1D2,2041,0.27
